Fold,Model Name,Accuracy,Macro Precision,Macro Recall,Macro F1,ROC AUC,Class 0.0 Precision,Class 0.0 Recall,Class 1.0 Precision,Class 1.0 Recall,Class 2.0 Precision,Class 2.0 Recall
10,Logistic Regression ROS,0.6979213132304398,0.6966099945065958,0.6979224862702719,0.6950381172467873,0.823793579459549,0.7313518148042297,0.6847738827936848,0.6513353115727003,0.5875267665952891,0.7071428571428572,0.8214668094218416
1,Logistic Regression SMOTE,0.7255129348795718,0.7252779822641736,0.7255091980058589,0.7215642249772665,0.8624971680364415,0.7509556012937372,0.6836188436830836,0.6998175182481752,0.6157345464276157,0.7250608272506083,0.8771742039068772
2,Logistic Regression SMOTE,0.7260481712756467,0.7260555669422839,0.726043383897392,0.7220140200725619,0.8589909973026444,0.7514208794495961,0.6723768736616702,0.7011736382786639,0.6234947819106235,0.7255721830985915,0.8822584961198823
3,Logistic Regression SMOTE,0.7157894736842105,0.7153603238122749,0.7157853387341163,0.7112171181166503,0.8542449100016198,0.7375405485107638,0.6694325481798715,0.6920703486578217,0.6002140754616002,0.7164700742682394,0.8777093925608777
4,Logistic Regression SMOTE,0.7285459411239964,0.7276493640041974,0.7285420292130492,0.7244000036880878,0.8602899807983496,0.7451208855228663,0.6846895074946466,0.7042124542124543,0.6173401123896174,0.7336147522772717,0.8835964677548835
5,Logistic Regression SMOTE,0.7163247100802854,0.7158706104246368,0.7163201215080708,0.7118027090544223,0.8577293608127068,0.7439353099730458,0.6648822269807281,0.6847694174757282,0.6039603960396039,0.7189071038251366,0.8801177415038801
6,Logistic Regression SMOTE,0.7213846016593809,0.7218147714563431,0.7213902556700487,0.7175720715488659,0.855851596754336,0.7456033959975743,0.658014450093658,0.7007125890736342,0.6316916488222698,0.7191283292978208,0.8744646680942184
7,Logistic Regression SMOTE,0.7324471406905165,0.7324502392045008,0.732451083814325,0.7284785279655651,0.8657385769103091,0.7551379917792131,0.6882526090446882,0.7121906507791017,0.6239293361884368,0.7300220750551877,0.8851713062098501
8,Logistic Regression SMOTE,0.7220090998304933,0.7223734275375643,0.7220142843035967,0.7178167296658157,0.8579526140361761,0.7443744374437443,0.6639015252876639,0.7041868932038835,0.6212526766595289,0.7185589519650655,0.8808886509635975
9,Logistic Regression SMOTE,0.7185297528771523,0.718314938596203,0.7185341732853764,0.7143766613445971,0.8559151230790008,0.7438262421898244,0.668985817500669,0.6921212121212121,0.6113490364025695,0.7189973614775725,0.8752676659528907
10,Logistic Regression SMOTE,0.723347310197163,0.7238113825508424,0.7233519933103328,0.7190311707036073,0.8592036206276686,0.7499252168710739,0.6708589777896709,0.7030581039755351,0.6153640256959315,0.7184508268059182,0.8838329764453962
1,XGBoost,0.7812939521800282,0.7673492968096957,0.7706485440270384,0.7689217119733837,0.9120215632006418,0.7789669613773849,0.7664835164835165,0.8026245313336904,0.801980198019802,0.7204563977180114,0.7434819175777965
2,XGBoost,0.7731364275668073,0.7594143621266606,0.7654159686173442,0.7623027108581312,0.909070768363665,0.7630004601932812,0.7591575091575091,0.7977285018929151,0.7894032646507894,0.7175141242937854,0.7476871320437343
3,XGBoost,0.7745428973277074,0.7588738122503852,0.7636660936059769,0.7611750676437875,0.9081225744207823,0.7761332099907493,0.7686669720568026,0.7974137931034483,0.7920792079207921,0.7030744336569579,0.7302521008403361
4,XGBoost,0.7794655414908579,0.7629647183582922,0.7697135411813161,0.7662033344148723,0.9084164689002584,0.776044056906838,0.7746220797068255,0.8060227889310906,0.7950227455177951,0.7068273092369478,0.7394957983193278
5,XGBoost,0.7781997187060479,0.760890247452739,0.7713917932480068,0.7657963317883746,0.9075664520298439,0.7809479981592269,0.777370590929913,0.8050847457627118,0.7880652930157881,0.6966379984362784,0.7487394957983193
6,XGBoost,0.7825597749648383,0.7692866245919113,0.7687732667327074,0.768864128684314,0.91434261138494,0.7914081145584726,0.7591575091575091,0.7984189723320159,0.8110278372591007,0.7180327868852459,0.7361344537815127
7,XGBoost,0.7763713080168776,0.7596496291514742,0.7679603796715524,0.7635840542421688,0.9095768711141198,0.7734806629834254,0.7692307692307693,0.8036442752243677,0.7909528907922913,0.7018239492466296,0.7436974789915967
8,XGBoost,0.7828105218736813,0.7679693308539756,0.7728224751835636,0.7702332794843078,0.9131328870845801,0.7845433255269321,0.766941391941392,0.8045052292839904,0.8029978586723768,0.714859437751004,0.7485281749369218
9,XGBoost,0.7749331832887889,0.7562932063185405,0.7662924581799061,0.7609478499904924,0.9082100698726889,0.7802400738688827,0.7738095238095238,0.8029475982532751,0.7874732334047109,0.6856919468334637,0.7375946173254836
10,XGBoost,0.7826698551132367,0.7703893204680409,0.7759778084853769,0.7730941441450278,0.9103888871722741,0.7759412304866851,0.7738095238095238,0.803677663601947,0.7955032119914347,0.7315490673154906,0.7586206896551724
1,XGBoost ROS,0.8354148082069581,0.8357542129056702,0.8354183868818041,0.8317884770389586,0.9386973722818596,0.8365728900255754,0.8755353319057816,0.8387728459530026,0.6877174203906877,0.8319169027384324,0.943002408348943
2,XGBoost ROS,0.832114183764496,0.8322607312524642,0.8321177942205357,0.8284234394240819,0.9365109892563526,0.8326947637292464,0.8725910064239829,0.8335509138381201,0.6834359111586834,0.830536516190026,0.9403264650789404
3,XGBoost ROS,0.8301516503122213,0.8310544435689482,0.8301548628154093,0.8262190247248569,0.9365941919166559,0.8340206185567011,0.8661670235546038,0.8379629629629629,0.6780840246186781,0.8211797491871807,0.9462135402729462
4,XGBoost ROS,0.8375557537912578,0.8377690443646936,0.8375596906296336,0.8339259903079034,0.9374043191033414,0.837954718901043,0.8816916488222698,0.8398042414355628,0.6887877976986888,0.8355481727574751,0.9421996253679422
5,XGBoost ROS,0.8320249776984835,0.8323862909052492,0.8320287871139103,0.8278142291921234,0.9362775560095032,0.8340990301174068,0.8747323340471093,0.8351028533510285,0.6735349210596735,0.8279569892473119,0.9478191062349478
